,name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,car_age,price_per_km
28,Chevrolet Enjoy TCDi LTZ 7 Seater,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0,12,16483.516483516483
29,Maruti Wagon R LXI Minor,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0,16,11640.21164021164
30,Maruti Omni E MPI STD BS IV,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8.0,7,15178.511904761905
31,Maruti Vitara Brezza LDi Option,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,8,27572.01646090535
32,Fiat Palio 1.2 ELX,70000,50000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,22,3604.757245334767
33,Maruti Omni 8 Seater BSIV,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5.0,13,10714.285714285714
34,Hyundai i20 1.2 Asta Dual Tone,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,7,39247.31182795699
35,Maruti Vitara Brezza LDi,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,8,26748.971193415637
36,Maruti Alto 800 CNG LXI Optional,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,4.0,6,9868.42105263158
37,Maruti Alto K10 VXI Airbag,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0,6,15281.837160751566
38,Hyundai Verna VTVT 1.6 SX Option,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,6,67588.23529411765
39,Datsun GO D,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,9,7270.964614638876
40,Tata Safari DICOR 2.2 LX 4x2,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7.0,14,30509.691313711413
41,Maruti 800 Std,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4.0,13,9316.770186335403
42,Jeep Compass 1.4 Limited Plus BSIV,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5.0,6,131250.0
43,Honda City i VTEC VX,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0,7,51966.292134831456
44,Honda City V MT,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5.0,12,25297.619047619046
45,Maruti Swift Dzire VXi AT,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0,7,36486.48648648649
46,Maruti Vitara Brezza VDi,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,7,33744.81481481481
47,Maruti Alto K10 VXI,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,7,16283.9248434238
48,Toyota Fortuner 4x4 MT,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7.0,11,119521.9123505976
49,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7.0,12,53887.60585065435
50,Mercedes-Benz B Class B180,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5.0,11,97972.97297297297
51,Honda Amaze S Diesel,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0,10,17206.477732793523
52,Mitsubishi Pajero Sport 4X4,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7.0,12,80740.74074074074
53,Honda City i DTEC S,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0,10,23076.923076923078
54,Maruti Ciaz Zeta,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0,7,41162.22760290557
55,Honda Jazz VX Diesel,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5.0,10,19230.76923076923
56,Toyota Innova Crysta 2.8 ZX AT BSIV,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,9,145246.47887323945
57,Toyota Innova 2.5 G (Diesel) 7 Seater,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7.0,9,73133.17936874519
58,Audi A6 2.0 TDI Technology,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5.0,12,98981.90045248868
59,Toyota Corolla Altis 1.8 VL CVT,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,7,111344.53781512605
60,Audi A6 2.0 TDI  Design Edition,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5.0,12,91203.39989206691
61,Mercedes-Benz New C-Class 220 CDI AT,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,5.0,12,96024.25876010781
62,Tata Manza ELAN Quadrajet BS IV,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,14,12547.348484848484
63,Hyundai i10 Magna,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0,14,9332.023575638506
64,Hyundai i20 Asta 1.4 CRDi,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0,12,19981.19417019276
65,Maruti Swift Dzire ZDI,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0,10,23693.1177134261
66,Ford Figo 1.2P Titanium MT,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0,8,33039.64757709251
67,Maruti Baleno Delta 1.2,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,6,30373.831775700935
68,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,9,24545.454545454544
69,Honda City i DTEC VX,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,10,25099.601593625495
70,Maruti Wagon R AMT VXI,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,7,21843.003412969283
71,Volkswagen Ameo 1.5 TDI Comfortline,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,8,23084.025854108957
72,Maruti Vitara Brezza VDi,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,9,30658.43621399177
73,Maruti Vitara Brezza ZDi Plus AMT,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0,6,42181.06995884774
74,Hyundai i10 Magna,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,14,11542.239685658153
75,Maruti Swift VDI Deca,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,9,25000.0
76,Toyota Fortuner 4x4 MT,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7.0,10,135458.16733067727
77,Maruti Swift Star VDI,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,12,19650.655021834064
78,Maruti Ertiga ZXI,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7.0,13,28089.88764044944
79,Tata Indica DLS,50000,70000,Diesel,Individual,Manual,First Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,22,2574.826603810548
80,Volkswagen Vento Diesel Highline,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0,12,21908.471275559885
81,Toyota Innova 2.5 VX (Diesel) 8 Seater,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8.0,9,92378.75288683602
82,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,10,26789.63548528766
83,BMW X1 sDrive20i xLine,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,5.0,9,159134.30935709737
84,Maruti Celerio ZXI MT BSIV,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5.0,8,20995.627705627703
85,Datsun GO A Petrol,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5.0,9,14458.464773922187
86,Maruti Alto 800 VXI BSIV,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,9,12753.036437246963
87,Maruti Alto 800 LXI BSIV,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,9,11133.603238866397
88,Maruti Swift VDI BSIV W ABS,475000,78000,Diesel,Dealer,Manual,First Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,10,24460.852736200206
89,Hyundai i10 Era 1.1,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0,13,14639.071176173651
90,Maruti Omni 8 Seater BSIV,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5.0,8,20000.0
91,Maruti Wagon R LXI LPG BSIV,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,5.0,15,8587.786259541985
92,Volkswagen Polo 1.2 MPI Comfortline,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5.0,10,27625.98664238009
93,Hyundai i10 Magna 1.1L,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5.0,10,17718.324078748108
94,Volkswagen Vento Petrol Highline,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5.0,13,35571.8085106383
95,Maruti Zen Estilo LXI BSIII,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0,16,9615.384615384615
96,Hyundai i20 Asta Optional with Sunroof 1.2,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5.0,12,28378.37837837838
97,Maruti Swift Dzire LDI,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,9,22564.87401278676
98,Hyundai Xcent 1.2 Kappa SX Option AT,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5.0,9,29581.15183246073
99,Maruti Alto LX BSIII,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5.0,17,6091.370558375635
100,Hyundai i20 1.4 Asta Option,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,8,32165.039929015085
101,Maruti Wagon R VXI,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5.0,16,8490.13308857274
102,Tata Manza Aura (ABS) Quadrajet,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0,15,10638.297872340425
103,Maruti Swift VXI,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,6,28995.756718528995
104,Maruti Eeco 7 Seater Standard BSIV,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,7.0,9,17566.68835393624
105,Maruti Baleno Zeta 1.2,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,7,28504.672897196262
106,Mahindra Scorpio VLX AT AIRBAG BSIV,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8.0,11,53011.02629346905
107,Ford Freestyle Titanium Petrol BSIV,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0,5,21052.63157894737
108,Hyundai Verna VTVT 1.6 SX,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,8,50941.17647058824
109,Volkswagen Passat 1.8 TSI MT,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,5.0,15,48951.04895104895
110,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5.0,15,18987.341772151896
111,Mahindra XUV500 W11 Option AWD,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,7.0,6,112582.78145695364
112,Tata Indigo CS LS (TDI) BS-III,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0,9,19643.792561550552
113,Hyundai Verna 1.6 SX,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0,12,23387.09677419355
114,Hyundai i20 Magna 1.4 CRDi (Diesel),451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,12,20639.223744292238
115,Toyota Corolla Altis G,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5.0,16,20646.937370956643
116,Maruti Celerio VXI,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,5,21960.24040684235
117,Maruti Vitara Brezza ZDi Plus Dual Tone,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,9,32098.765432098764
118,Maruti Swift Dzire VXI,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,8,28537.17026378897
119,Maruti Wagon R VXI BS IV,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,8,21452.94978059483
120,Maruti Swift VDI BSIV,300000,120000,Diesel,Individual,Manual,Second Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,15,15448.959622863287
121,Nissan Terrano XL 85 PS,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5.0,11,19559.902200489
122,Hyundai Creta 1.6 CRDi SX,1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,9,57956.27859684799
123,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,8,36956.52173913043
124,Maruti Swift Dzire VDi,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0,13,19170.984455958547
125,Renault KWID 1.0,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,7,15210.777922642328
126,Maruti Celerio VXI,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5.0,10,15584.415584415583
127,Maruti Alto LXi,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0,17,5329.949238578681
128,Maruti Ertiga VDI,625000,90000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,12,30091.478093403948
129,Hyundai Santro Xing GLS,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0,16,7533.482142857142
130,Maruti Ertiga VDI,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,10,33702.45546461242
131,Honda Amaze S i-VTEC,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5.0,6,38764.04494382023
132,Audi Q5 35TDI Premium Plus,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,5.0,7,233686.06701940033
133,Jaguar XF 2.0 Diesel Portfolio,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5.0,8,165545.78375581998
134,Jeep Wrangler 2016-2019 3.6 4X4,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,5.0,8,431578.94736842107
135,Land Rover Discovery Sport TD4 SE,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,7.0,6,350740.45206547156
136,BMW 5 Series 520d Sport Line,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5.0,7,168594.30604982207
137,BMW X1 sDrive 20D xLine,2150000,27000,Diesel,Dealer,Automatic,First Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,8,110717.54396385356
138,Skoda Superb LK 1.8 TSI AT,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5.0,7,127130.1295160191
139,Mercedes-Benz E-Class E250 Edition E,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,5.0,9,180000.0
140,MG Hector Sharp AT BSIV,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5.0,6,125358.16618911174
141,Honda City i-VTEC CVT VX,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5.0,8,44166.666666666664
142,Toyota Corolla Altis 1.8 G CVT,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,12,43767.507002801125
143,Volvo XC40 D4 R-Design,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,5.0,7,188888.88888888888
144,Audi Q7 35 TDI Quattro Premium,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,7.0,10,219552.6097763049
145,Maruti Ciaz ZDi,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5.0,10,20412.05646699733
146,BMW 5 Series 523i,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,5.0,15,90277.77777777777
147,Hyundai Elantra S,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,5.0,9,49386.503067484664
148,Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5.0,8,193014.70588235295
149,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5.0,7,47705.882352941175
150,Volkswagen Vento Petrol Highline,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5.0,14,24933.510638297874
151,Hyundai Elantra SX,550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,5.0,13,33742.33128834356
152,Skoda Rapid 1.6 MPI AT Elegance,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5.0,9,45104.895104895106
153,Mercedes-Benz CLA 200 CGI Sport,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,5.0,7,169547.87234042553
154,Maruti Ertiga ZXI,599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,7.0,11,37390.76154806492
155,Mercedes-Benz New C-Class C 200 AVANTGARDE,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,5.0,8,183175.0339213026
156,Honda City V AT,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5.0,8,56089.74358974359
157,Toyota Glanza V CVT,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5.0,6,45756.595092024545
158,Maruti Alto K10 VXI,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,14,7306.889352818372
159,Maruti Swift VXI,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5.0,13,16030.17444601603
160,Toyota Innova Crysta 2.8 ZX AT BSIV,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,9,134242.95774647887
161,Tata Nexon 1.5 Revotorq XZA Plus DualTone,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5.0,7,47674.41860465116
162,BMW 3 Series 320d Luxury Line,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0,9,94755.39885412075
163,Toyota Camry 2.5 Hybrid,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,5.0,9,99164.92693110647
164,BMW 5 Series 520d Luxury Line,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,5.0,9,160044.15011037528
165,Toyota Camry W4 (AT),450000,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362.0,164.7,5.0,16,37190.0826446281
166,Maruti Ertiga BSIV ZXI Plus,850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,7.0,9,48571.42857142857
167,Volkswagen Vento Diesel Highline,300000,100000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5.0,14,14605.647517039923
168,Ford Figo Aspire 1.2 Ti-VCT Trend,575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,7,31662.995594713655
169,Ford Figo Diesel LXI,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,14,8000.0
170,Maruti Swift VXI Optional,515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,10,25245.09803921569
171,Maruti Wagon R AMT VXI,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5.0,10,19015.11457825451
172,Hyundai i20 Magna 1.2,550000,14000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,9,29569.892473118278
173,Maruti 800 Std,40000,40000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,26,2484.4720496894406
174,Maruti Ritz VDi,220000,120000,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5.0,15,10426.54028436019
175,Hyundai Grand i10 Magna,425000,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,10,22486.77248677249
176,Volkswagen Ameo 1.0 MPI Trendline,480000,13000,Petrol,Individual,Manual,First Owner,19.44,999.0,75.0,5.0,6,24691.358024691355
177,Hyundai Grand i10 Sportz,400000,60000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0,11,21164.021164021167
178,Maruti Swift Dzire VXI,487000,35000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5.0,11,25497.382198952877
179,Hyundai Xcent 1.2 Kappa S,386000,44000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,5.0,9,20209.42408376963
180,Honda City 1.5 EXI,100000,120000,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,5.0,20,7692.307692307692
181,Toyota Corolla Altis Diesel D4DG,300000,60000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5.0,15,13999.066728884742
182,Daewoo Matiz SD,100000,60000,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5.0,25,5405.405405405405
183,Toyota Fortuner 4x2 Manual,1750000,30000,Diesel,Individual,Manual,Second Owner,13.0,2982.0,168.5,7.0,11,134615.38461538462
184,Mahindra KUV 100 mFALCON G80 K8,450000,15000,Petrol,Individual,Manual,Second Owner,18.15,1198.0,82.0,6.0,9,24793.388429752067
185,Tata Zest Quadrajet 1.3 75PS XM,490000,90000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5.0,8,21350.762527233117
186,Honda City 1.5 S MT,345000,47000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5.0,16,20294.117647058825
187,Maruti Zen LXI,85000,90000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5.0,20,4913.294797687861
188,Maruti Wagon R VXI BS IV with ABS,215000,120600,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5.0,15,11375.661375661377
189,Hyundai Verna Transform SX VTVT,320000,100000,Petrol,Individual,Manual,Third Owner,16.2,1599.0,103.2,5.0,15,19753.086419753086
190,Maruti Swift Dzire VXI,459999,60000,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,5.0,9,22062.302158273378
191,Hyundai Getz GLS,65000,86000,Petrol,Individual,Manual,First Owner,15.3,1341.0,83.0,5.0,20,4248.366013071895
192,Hyundai Elite i20 Sportz Plus BSIV,720000,5000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0,5,38709.67741935483
